Date,Year,Month,year_month,Day,Weekday,Holiday,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Monthly Mean Temp (°C),Delta Temp (°C),Total Precip (mm),Monthly Mean Precip (mm),Delta Precip (mm),Snow on Grnd (cm),Barrie Ridership,Kitchener Ridership,Lakeshore East Ridership,Lakeshore West Ridership,Milton Ridership,Richmond Hill Ridership,Stouffville Ridership,Union Station Ridership,Total GO Ridership,Outlier,Overall Mean,2SD_above,2SD_below
2017-03-01,2017,3,2017-03,1,Wednesday,False,13.1,-1.9,5.6,0.11612903225806419,5.483870967741935,18.4,2.490322580645161,15.909677419354837,0.0,74235,100664,187314,243965,115524,41759,65258,709669,1538388,False,1684403.3642384105,1885101.5020153194,1483705.2264615016
2017-03-02,2017,3,2017-03,2,Thursday,False,-1.3,-6.4,-3.9,0.11612903225806419,-4.016129032258064,0.2,2.490322580645161,-2.290322580645161,0.5,73575,98834,193721,251245,115976,41975,64723,710233,1550282,False,1667167.2582781457,1877279.5350490143,1457054.981507277
2017-03-03,2017,3,2017-03,3,Friday,False,-4.3,-8.1,-6.2,0.11612903225806419,-6.316129032258065,0.0,2.490322580645161,-2.490322580645161,0.5,65999,90692,176474,233488,104386,38029,58671,645929,1413668,False,1513442.9121621621,1722796.0680363919,1304089.7562879324
2017-03-04,2017,3,2017-03,4,Saturday,False,-6.5,-11.9,-9.2,0.11612903225806419,-9.316129032258063,0.2,2.490322580645161,-2.290322580645161,0.5,6852,3517,58477,87326,1518,0,1792,102982,262464,False,336352.77777777775,547707.7658150186,124997.78974053694
2017-03-05,2017,3,2017-03,5,Sunday,False,-0.4,-10.6,-5.5,0.11612903225806419,-5.616129032258065,0.0,2.490322580645161,-2.490322580645161,0.5,5933,2917,35034,62331,1234,0,1135,62998,171582,False,240763.11920529802,393242.3858367851,88283.85257381099
2017-03-06,2017,3,2017-03,6,Monday,False,4.9,-2.1,1.5999999999999996,0.11612903225806419,1.4838709677419355,4.8,2.490322580645161,2.3096774193548386,0.0,75217,101015,180954,237309,118250,42880,64786,700232,1520643,False,1628418.7575757576,1937135.7381185975,1319701.7770329176
2017-03-07,2017,3,2017-03,7,Tuesday,False,10.9,6.4,8.7,0.11612903225806419,8.583870967741936,9.6,2.490322580645161,7.109677419354838,0.0,75590,101966,189452,248571,118927,42509,65048,706611,1548674,False,1675849.98,1930924.0527246643,1420775.9072753356
2017-03-08,2017,3,2017-03,8,Wednesday,False,11.1,2.4,6.8,0.11612903225806419,6.683870967741935,0.0,2.490322580645161,-2.490322580645161,0.0,75324,101589,186282,241428,117974,42599,64644,706211,1536051,False,1684403.3642384105,1885101.5020153194,1483705.2264615016
2017-03-09,2017,3,2017-03,9,Thursday,False,4.4,-1.1,1.7,0.11612903225806419,1.5838709677419358,0.0,2.490322580645161,-2.490322580645161,0.0,73633,100165,190897,248050,117021,40671,62492,705507,1538436,False,1667167.2582781457,1877279.5350490143,1457054.981507277
2017-03-10,2017,3,2017-03,10,Friday,False,-0.3,-9.4,-4.9,0.11612903225806419,-5.016129032258065,0.0,2.490322580645161,-2.490322580645161,0.0,65034,92254,174382,229759,104267,36849,57349,632026,1391920,False,1513442.9121621621,1722796.0680363919,1304089.7562879324
2017-03-11,2017,3,2017-03,11,Saturday,False,-5.3,-12.5,-8.9,0.11612903225806419,-9.016129032258064,0.2,2.490322580645161,-2.290322580645161,0.5,6479,3378,47512,83128,1265,0,1449,78419,221630,False,336352.77777777775,547707.7658150186,124997.78974053694
