station name,Station Name Trimmed,Clean Stop Name,Line ID,Line Name,Station ID,stop_lat,stop_lon,rail_distance_from_union_miles,Subway,University_College,University_Nm,GO Station_Line,Park and Ride_Carpool,Terminal Station,Shopping Centre,Parent Station,City
 1|   55|Union Station Rail,Union Station Rail,Union Station,0,Union Station,0,43.645195,-79.3806,0,0,0,,0,0,0,0,Union Station Rail,Toronto
 1|    1|Agincourt GO Station Rail,Agincourt GO Station Rail,Agincourt GO,6,Stouffville,6002,43.78611,-79.284385,14.1,0,0,,6,0,0,0,Agincourt GO Station Rail,Scarborough
 1|    2|Ajax GO Station Rail,Ajax GO Station Rail,Ajax GO,7,Lakeshore East,7007,43.847766,-79.041372,23.43,0,0,,7,0,0,0,Ajax GO Station Rail,Ajax
 1|    3|Aldershot GO Station Rail,Aldershot GO Station Rail,Aldershot GO,1,Lakeshore West,1010,43.313385,-79.855659,34.6,0,0,,1,0,0,0,Aldershot GO Station Rail,Burlington
 1|    4|Appleby GO Station Rail,Appleby GO Station Rail,Appleby GO,1,Lakeshore West,1008,43.379429,-79.760991,27.9,0,0,,1,0,0,0,Appleby GO Station Rail,Burlington
 1|    5|Aurora GO Station Rail,Aurora GO Station Rail,Aurora GO,4,Barrie,4006,44.000758,-79.459725,29.9,0,0,,4,0,0,0,Aurora GO Station Rail,Aurora
 1|    6|Barrie South GO Station Rail,Barrie South GO Station Rail,Barrie South GO,4,Barrie,4010,44.35112,-79.627441,59.5,0,0,,4,0,0,0,Barrie South GO Station Rail,Stroud
 1|    7|Bloor GO Station Rail,Bloor GO Station Rail,Bloor GO,3,Kitchener,3001,43.656928,-79.450192,4,0,0,,3,0,0,0,Bloor GO Station Rail,Toronto
 1|    8|Bradford GO Station Rail,Bradford GO Station Rail,Bradford GO,4,Barrie,4009,44.116513,-79.555394,41.5,0,0,,4,0,0,0,Bradford GO Station Rail,Bradford
 1|    9|Bramalea GO Station Rail,Bramalea GO Station Rail,Bramalea GO,3,Kitchener,3005,43.7022591,-79.6887512,17.3,0,0,,3,0,0,0,Bramalea GO Station Rail,Bramalea
