Date,daily_total
2017-03-01,207633
2017-03-02,209194
2017-03-03,190753
2017-03-04,35389
2017-03-05,23126
2017-03-06,205183
2017-03-07,208975
2017-03-08,207278
2017-03-09,207598
2017-03-10,187860
2017-03-11,29887
2017-03-12,18969
2017-03-13,195946
2017-03-14,159282
2017-03-15,191147
2017-03-16,195681
2017-03-17,179264
2017-03-18,39870
2017-03-19,27259
2017-03-20,205561
2017-03-21,209347
2017-03-22,202820
2017-03-23,208171
2017-03-24,190399
2017-03-25,26744
2017-03-26,18914
2017-03-27,207176
2017-03-28,211724
2017-03-29,210439
2017-03-30,206794
2017-03-31,202829
2017-04-01,29173
2017-04-02,24613
2017-04-03,208669
2017-04-04,208390
2017-04-05,207113
2017-04-06,205031
2017-04-07,189388
2017-04-08,41362
2017-04-09,24800
2017-04-10,207489
2017-04-11,224123
2017-04-12,211314
2017-04-13,203834
2017-04-14,36499
2017-04-15,39350
2017-04-16,32292
2017-04-17,156998
2017-04-18,215949
2017-04-19,217204
2017-04-20,211245
2017-04-21,199359
2017-04-22,28929
2017-04-23,28893
2017-04-24,204632
2017-04-25,200927
2017-04-26,202950
2017-04-27,199844
2017-04-28,202606
2017-04-29,40935
2017-04-30,31578
2017-05-01,198207
2017-05-02,202790
2017-05-03,212625
2017-05-04,205211
2017-05-05,188994
2017-05-06,28207
2017-05-07,24641
2017-05-08,210781
2017-05-09,213976
2017-05-10,212356
2017-05-11,207657
2017-05-12,195457
2017-05-13,52445
2017-05-14,37702
2017-05-15,210934
2017-05-16,217113
2017-05-17,204922
2017-05-18,202185
2017-05-19,168288
2017-05-20,29231
2017-05-21,17671
2017-05-22,21930
2017-05-23,201614
2017-05-24,205941
2017-05-25,198040
2017-05-26,210854
2017-05-27,49187
2017-05-28,38244
2017-05-29,206083
2017-05-30,224429
2017-05-31,220433
2017-06-01,212898
2017-06-02,205260
2017-06-03,46527
2017-06-04,45157
2017-06-05,204161
2017-06-06,209174
2017-06-07,215638
2017-06-08,209564
2017-06-09,190229
2017-06-10,32188
2017-06-11,33438
2017-06-12,201161
2017-06-13,217806
2017-06-14,215973
2017-06-15,214820
2017-06-16,199680
2017-06-17,58159
2017-06-18,40646
2017-06-19,208626
2017-06-20,215552
2017-06-21,213694
2017-06-22,205755
2017-06-23,210978
2017-06-24,52407
2017-06-25,39574
2017-06-26,200600
2017-06-27,231077
2017-06-28,219073
2017-06-29,214592
2017-06-30,173858
2017-07-01,55022
2017-07-02,40418
2017-07-03,28124
2017-07-04,189537
2017-07-05,201544
2017-07-06,209228
2017-07-07,195095
2017-07-08,51049
2017-07-09,36084
2017-07-10,199805
2017-07-11,206620
2017-07-12,204716
2017-07-13,195370
2017-07-14,186763
2017-07-15,56240
2017-07-16,52350
2017-07-17,197132
2017-07-18,216162
2017-07-19,211739
2017-07-20,200220
2017-07-21,180837
2017-07-22,42718
2017-07-23,25229
2017-07-24,208731
2017-07-25,217985
2017-07-26,209894
2017-07-27,210700
2017-07-28,196008
2017-07-29,60583
2017-07-30,56801
2017-07-31,192799
2017-08-01,201805
2017-08-02,198727
2017-08-03,198629
2017-08-04,156697
2017-08-05,56621
2017-08-06,27004
2017-08-07,30271
2017-08-08,201689
2017-08-09,211588
2017-08-10,202374
2017-08-11,191414
2017-08-12,64053
2017-08-13,40863
2017-08-14,198786
2017-08-15,206263
2017-08-16,207749
2017-08-17,213198
2017-08-18,196853
2017-08-19,65983
