Date,Year,Month,year_month,Day,Weekday,Holiday,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Monthly Mean Temp (°C),Delta Temp (°C),Total Precip (mm),Monthly Mean Precip (mm),Delta Precip (mm),Snow on Grnd (cm),Barrie Ridership,Kitchener Ridership,Lakeshore East Ridership,Lakeshore West Ridership,Milton Ridership,Richmond Hill Ridership,Stouffville Ridership,Union Station Ridership,Total GO Ridership,Outlier,Overall Mean,2SD_above,2SD_below
2017-03-01,2017,3,2017-03,1,Wednesday,False,13.1,-1.9,5.6,-0.2516129032258065,5.851612903225806,18.4,2.335483870967742,16.064516129032256,0.0,10022,13585,25273,32909,15599,5639,8804,95802,207633,False,227296.50331125828,254365.8101718576,200227.19645065896
2017-03-02,2017,3,2017-03,2,Thursday,False,-1.3,-6.4,-3.9,-0.2516129032258065,-3.6483870967741936,0.2,2.335483870967742,-2.1354838709677417,0.5,9932,13331,26120,33884,15653,5665,8736,95873,209194,False,224966.61589403974,253295.69627997148,196637.535508108
2017-03-03,2017,3,2017-03,3,Friday,False,-4.3,-8.1,-6.2,-0.2516129032258065,-5.948387096774193,0.0,2.335483870967742,-2.335483870967742,0.5,8905,12235,23801,31473,14092,5129,7918,87200,190753,False,204211.9054054054,232457.9053204741,175965.90549033674
2017-03-04,2017,3,2017-03,4,Saturday,False,-6.5,-11.9,-9.2,-0.2516129032258065,-8.948387096774193,0.2,2.335483870967742,-2.1354838709677417,0.5,928,480,7872,11756,208,0,246,13899,35389,False,45352.333333333336,73886.65646862905,16818.010198037613
2017-03-05,2017,3,2017-03,5,Sunday,False,-0.4,-10.6,-5.5,-0.2516129032258065,-5.248387096774193,0.0,2.335483870967742,-2.335483870967742,0.5,803,398,4714,8381,169,0,156,8505,23126,False,32455.370860927153,53039.51923403652,11871.222487817791
2017-03-06,2017,3,2017-03,6,Monday,False,4.9,-0.9,-9.8,-0.2516129032258065,-9.548387096774194,0.0,2.335483870967742,-2.335483870967742,0.0,10154,13622,24393,31993,15964,5787,8740,94530,205183,False,219741.3409090909,261398.51874083583,178084.163077346
2017-03-07,2017,3,2017-03,7,Tuesday,False,10.9,6.4,8.7,-0.2516129032258065,8.951612903225806,9.6,2.335483870967742,7.264516129032257,0.0,10200,13754,25540,33525,16051,5738,8777,95390,208975,False,226142.08666666667,260553.15572545084,191731.0176078825
2017-03-08,2017,3,2017-03,8,Wednesday,False,11.1,2.4,6.8,-0.2516129032258065,7.051612903225807,0.0,2.335483870967742,-2.335483870967742,0.0,10165,13703,25125,32551,15928,5750,8723,95333,207278,False,227296.50331125828,254365.8101718576,200227.19645065896
2017-03-09,2017,3,2017-03,9,Thursday,False,4.4,-1.1,1.7,-0.2516129032258065,1.9516129032258065,0.0,2.335483870967742,-2.335483870967742,0.0,9931,13508,25748,33453,15796,5490,8431,95241,207598,False,224966.61589403974,253295.69627997148,196637.535508108
2017-03-10,2017,3,2017-03,10,Friday,False,-0.3,-9.4,-4.9,-0.2516129032258065,-4.648387096774194,0.0,2.335483870967742,-2.335483870967742,0.0,8778,12442,23531,30993,14076,4976,7740,85324,187860,False,204211.9054054054,232457.9053204741,175965.90549033674
